Title: The Low-Redshift Lyman Continuum Survey I:
       New, Diverse Local Lyman-Continuum Emitters 
Authors: Flury S.R., Jaskot A.E., Ferguson H.C., Worseck G., Makan K., 
         Chisholm J., Saldana-Lopez A., Schaerer D., McCandliss S., Wang B.,
         Ford N.M., Heckman T., Ji Z., Giavalisco M., Amorin R., Atek H., 
         Blaizot J., Borthakur S., Carr C., Castellano M., Cristiani S., 
         De Barros S., Dickinson M., Finkelstein S.L., Fleming B., 
         Fontanot F., Garel T., Grazian A., Hayes M., Henry A., Mauerhofer V.,
         Micheva G., Oey M.S., Ostlin G., Papovich C., Pentericci L., 
         Ravindranath S., Rosdahl J., Rutkowski M., Santini P., Scarlata C., 
         Teplitz H., Thuan T., Trebitsch M., Vanzella E., Verhamme A., Xu X. 
Table: HST/COS observation log for the LzLCS
================================================================================
Byte-by-byte Description of file: apjsac5331t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 15 A15    ---   ID     Object identifier
  17- 26 F10.6  deg   RAdeg  Right Ascension in decimal degrees (J2000)
  28- 36 F9.6   deg   DEdeg  Declination in decimal degrees (J2000)
  38- 43 F6.4   ---   z      Spectroscopic redshift
  45- 50 A6     ---   Visit  Visit identifier
  52- 61 A10    ---   Date   Observation date; YYYY-MM-DD
  63- 71 F9.3   s     Exp    Exposure time
  73- 75 I3     ---   Num    Average number of dark current observations (1)
--------------------------------------------------------------------------------
Note (1): Used to model the background dark current in each visit.
--------------------------------------------------------------------------------
J003601+003307    9.002641  0.552006 0.3479 ldxe08 2019-09-25  3980.384  13 
J003601+003307    9.002641  0.552006 0.3479 ldxew9 2019-12-08  3980.672   9 
J004743+015440   11.928487  1.911086 0.3535 ldxe42 2019-07-29  1495.904   9 
J011309+000223   18.286905  0.039839 0.3062 ldxez5 2019-08-03  1363.904  13 
J012217+052044   20.569425  5.345561 0.3656 ldxe05 2019-09-20  3780.320  15 
J012910+145935   22.292300 14.992967 0.2800 ldxe53 2019-06-11  1568.032   5 
J072326+414608  110.856661 41.768828 0.2969 ldxe66 2019-09-05  3894.304  12 
J080425+472607  121.104605 47.435175 0.3565 ldxe40 2019-09-07 10266.464  15 
J081112+414146  122.800169 41.696089 0.3331 ldxe11 2019-09-17  6620.192  17 
J081112+414146  122.800169 41.696089 0.3331 ldxe12 2019-09-19  6682.784  20 
J081409+211459  123.536493 21.249781 0.2272 ldxe50 2019-09-22  1780.000  12 
J082652+182052  126.715864 18.347728 0.2972 ldxe36 2019-09-22  3772.640  19 
J083440+480541  128.666900 48.094697 0.3426 ldxe03 2019-09-11  3883.584  11 
J090918+392925  137.326518 39.490206 0.2816 ldxe37 2019-10-10  5474.560  16 
J091113+183108  137.805591 18.518931 0.2622 ldxe51 2019-11-12  1639.936   9 
J091207+523960  138.029918 52.666633 0.2470 ldxe19 2019-09-12  3890.560  11 
J091208+505009  138.033628 50.835731 0.3276 ldxe63 2019-06-06  3856.672  13 
J091703+315221  139.260524 31.872378 0.3004 ldxe30 2019-09-29  1663.936  16 
J092552+395714  141.466115 39.953803 0.3142 ldxe15 2019-10-12  2761.088  15 
J093355+510925  143.479514 51.156833 0.2913 ldxe38 2019-11-01  3032.832  12 
J093355+510925  143.479514 51.156833 0.2913 ldxe39 2019-11-01  3102.816  13 
J094001+593244  145.002751 59.545672 0.3716 ldxe14 2019-06-04  3800.768  13 
J095236+405249  148.149518 40.880236 0.3187 ldxe65 2019-11-10  3980.448  18 
J095700+235709  149.251875 23.952506 0.2444 ldxe24 2019-10-11  1840.032   7 
J095838+202508  149.660082 20.418786 0.3017 ldxe68 2019-12-18  3224.096   9 
J101401+523251  153.506179 52.547419 0.3549 ldxe20 2019-10-11  2996.096  15 
J102615+633308  156.563364 63.552358 0.3338 ldxe04 2019-06-04  3810.752  10 
J103344+635317  158.433551 63.888111 0.3467 ldxe41 2019-09-05  1668.064   6 
J103816+452718  159.567571 45.454950 0.3258 ldxew3 2019-12-06  1756.032   6 
J105117+474357  162.820477 47.732497 0.3354 ldxew4 2019-11-23  1323.968   7 
J105331+523753  163.378429 52.631356 0.2526 ldxe26 2019-09-23  1819.936   5 
J105525+485724  163.854675 48.956694 0.3801 ldxe17 2020-01-25  3200.608   9 
J110452+475204  166.217682 47.867847 0.2801 ldxe58 2019-10-11  3910.336  13 
J112224+412052  170.601341 41.347881 0.3048 ldxe34 2019-10-13  2780.128  19 
J112848+524509  172.198295 52.752600 0.3644 ldxe13 2019-12-01  3776.736   9 
J112933+493525  172.386841 49.590178 0.3451 ldxe02 2019-07-12  4056.704  16 
J113304+651341  173.265798 65.228161 0.2414 ldxe61 2019-07-06  1696.000   8 
J115855+312559  179.728330 31.433081 0.2430 ldxe49 2019-11-01  1707.968   5 
J115959+382422  179.995243 38.406103 0.2679 ldxet9 2019-12-04  4890.720  10 
