   100628 1240  53,13779 -27,79553 2,9167   0,0008 3   19,77   2,98 -19,290 0,041 41,95  0,34  472,86    8,09900000e+01 290,54    52,02  0,13  0,05  10,74   0,43 0,28 0,01
   150686 3658  53,14888 -27,80989 2,9271   0,0112 2   82,65  30,32 -16,846 0,298 41,60  0,55    0,00    0,00000000e+00 166,53   102,32 -0,05  0,12   0,91   0,48 1,00 0,00
   160687 2582  53,15514 -27,76235 2,9273   0,0008 3  133,46  29,23 -17,297 0,200 41,99  0,27  442,75    8,41400000e+01 280,66    57,69  0,16  0,05   1,00   0,00 1,00 0,00
   180689 2377  53,15120 -27,76754 2,9266   0,0008 2   66,08  16,79 -17,555 0,147 41,78  0,49  421,10    7,22700000e+01 308,81   106,24  0,21  0,09   1,70   0,30 0,73 0,17
   240899 2178  53,14876 -27,77169 2,9440   0,0030 2   47,19  11,05 -17,827 0,134 41,75  0,46    0,00    0,00000000e+00 192,34    60,22  0,17  0,06   0,79   0,13 1,00 0,00
   250900 7085  53,13323 -27,78672 2,9419   0,0013 3   78,08   8,07 -18,585 0,077 42,27  0,17  910,89    1,40700000e+02 358,34    28,36  0,18  0,02   2,51   0,14 0,58 0,05
   260901 2324  53,13708 -27,78711 2,9435   0,0008 1   25,93   7,10 -18,327 0,078 41,69  0,61  448,67    7,53200000e+01  31,37   407,09  0,10  0,15  12,77   2,17 0,68 0,10
   270902 4245  53,13447 -27,77783 2,9449   0,0061 2  177,69   0,00 -15,526 0,000 41,40  0,84    0,00    0,00000000e+00 266,26   144,95  0,16  0,14   1,00   0,00 1,00 0,00
   280903 6536  53,14854 -27,77447 2,9437   0,0078 2  323,15   0,00 -15,992 0,000 41,85  0,42    0,00    0,00000000e+00 497,21   124,54  0,16  0,39   1,00   0,00 1,00 0,00
   310999    0  53,15470 -27,77121 2,9467   0,0011 2  222,34   0,00 -16,724 0,000 41,98  0,29  490,06    1,37980000e+02 380,60   166,21  0,13  0,13   1,00   0,00 1,00 0,00
   321000    0  53,15611 -27,76296 2,9454   0,0604 1  336,19   0,00 -15,535 0,000 41,68  0,49    0,00    0,00000000e+00 416,01   161,68  0,04  0,16   1,00   0,00 1,00 0,00
   331001 7279  53,14426 -27,77117 2,9527   0,0031 2  100,90   0,00 -16,078 0,000 41,38  0,98    0,00    0,00000000e+00 173,57    89,15  0,19  0,09   3,00   1,30 1,00 0,00
   341002    0  53,15805 -27,79452 2,9446   0,0135 1   27,86   0,00 -20,579 0,000 42,62  0,10    0,00    0,00000000e+00 901,67   166,08  0,30  0,17   1,00   0,00 1,00 0,00
   361015 7380  53,17356 -27,77355 2,9768   0,0069 2  145,19  60,44 -16,786 0,411 41,82  0,39    0,00    0,00000000e+00 330,62    71,93 -0,08  0,07   1,57   0,57 1,00 0,00
