# %ECSV 1.0
# ---
# datatype:
# - {name: ID, datatype: int64}
# - {name: I17ID, datatype: int64}
# - {name: RAdeg, unit: deg, datatype: float64}
# - {name: DEdeg, unit: deg, datatype: float64}
# - {name: z, datatype: float64}
# - {name: e_z, datatype: float64}
# - {name: Conf, datatype: int64}
# - {name: EW0, unit: Angstrom, datatype: float64}
# - {name: e_EW0, unit: Angstrom, datatype: float64}
# - {name: MUV, unit: mag, datatype: float64}
# - {name: e_MUV, unit: mag, datatype: float64}
# - {name: logLLya, unit: dex(erg / s), datatype: float64}
# - {name: e_logLLya, unit: dex(erg / s), datatype: float64}
# - {name: Peaksep, unit: km / s, datatype: float64}
# - {name: e_Peaksep, unit: km / s, datatype: float64}
# - {name: FWHM, unit: km / s, datatype: float64}
# - {name: e_FWHM, unit: km / s, datatype: float64}
# - {name: Asym, datatype: float64}
# - {name: e_Asym, datatype: float64}
# - {name: Re, unit: kpc, datatype: float64}
# - {name: e_Re, unit: kpc, datatype: float64}
# - {name: axisratio, datatype: float64}
# - {name: e_axisratio, datatype: float64}
# - {name: f_esc_Lya, datatype: float64}
# - {name: e_f_esc_Lya, datatype: float64}
# - {name: logLLya_int, unit: dex(erg / s), datatype: float64}
# - {name: e_logLLya_int, unit: dex(erg / s), datatype: float64}
# - {name: logN_ion, unit: dex(1 / s), datatype: float64}
# - {name: e_logN_ion, unit: dex(1 / s), datatype: float64}
# - {name: logL1200, unit: dex(erg / (Angstrom s)), datatype: float64}
# - {name: e_logL1200, unit: dex(erg / (Angstrom s)), datatype: float64}
# meta: !!omap
# - __serialized_columns__:
#     DEdeg:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: DEdeg}
#     EW0:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id002 !astropy.units.Unit {unit: Angstrom}
#       value: !astropy.table.SerializedColumn {name: EW0}
#     FWHM:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: km / s}
#       value: !astropy.table.SerializedColumn {name: FWHM}
#     MUV:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id003 !astropy.units.Unit {unit: mag}
#       value: !astropy.table.SerializedColumn {name: MUV}
#     Peaksep:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: km / s}
#       value: !astropy.table.SerializedColumn {name: Peaksep}
#     RAdeg:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: RAdeg}
#     Re:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id004 !astropy.units.Unit {unit: kpc}
#       value: !astropy.table.SerializedColumn {name: Re}
#     e_EW0:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id002
#       value: !astropy.table.SerializedColumn {name: e_EW0}
#     e_FWHM:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: km / s}
#       value: !astropy.table.SerializedColumn {name: e_FWHM}
#     e_MUV:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id003
#       value: !astropy.table.SerializedColumn {name: e_MUV}
#     e_Peaksep:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: km / s}
#       value: !astropy.table.SerializedColumn {name: e_Peaksep}
#     e_Re:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id004
#       value: !astropy.table.SerializedColumn {name: e_Re}
#     e_logL1200:
#       __class__: astropy.units.function.logarithmic.Dex
#       unit: !astropy.units.Unit {unit: dex(erg / (Angstrom s))}
#       value: !astropy.table.SerializedColumn {name: e_logL1200}
#     e_logLLya:
#       __class__: astropy.units.function.logarithmic.Dex
#       unit: !astropy.units.Unit {unit: dex(erg / s)}
#       value: !astropy.table.SerializedColumn {name: e_logLLya}
#     e_logLLya_int:
#       __class__: astropy.units.function.logarithmic.Dex
#       unit: !astropy.units.Unit {unit: dex(erg / s)}
#       value: !astropy.table.SerializedColumn {name: e_logLLya_int}
#     e_logN_ion:
#       __class__: astropy.units.function.logarithmic.Dex
#       unit: !astropy.units.Unit {unit: dex(1 / s)}
#       value: !astropy.table.SerializedColumn {name: e_logN_ion}
#     logL1200:
#       __class__: astropy.units.function.logarithmic.Dex
#       unit: !astropy.units.Unit {unit: dex(erg / (Angstrom s))}
#       value: !astropy.table.SerializedColumn {name: logL1200}
#     logLLya:
#       __class__: astropy.units.function.logarithmic.Dex
#       unit: !astropy.units.Unit {unit: dex(erg / s)}
#       value: !astropy.table.SerializedColumn {name: logLLya}
#     logLLya_int:
#       __class__: astropy.units.function.logarithmic.Dex
#       unit: !astropy.units.Unit {unit: dex(erg / s)}
#       value: !astropy.table.SerializedColumn {name: logLLya_int}
#     logN_ion:
#       __class__: astropy.units.function.logarithmic.Dex
#       unit: !astropy.units.Unit {unit: dex(1 / s)}
#       value: !astropy.table.SerializedColumn {name: logN_ion}
# schema: astropy-2.0
ID I17ID RAdeg DEdeg z e_z Conf EW0 e_EW0 MUV e_MUV logLLya e_logLLya Peaksep e_Peaksep FWHM e_FWHM Asym e_Asym Re e_Re axisratio e_axisratio f_esc_Lya e_f_esc_Lya logLLya_int e_logLLya_int logN_ion e_logN_ion logL1200 e_logL1200
100628 1240 53.13779 -27.79553 2.9167 0.0008 3 19.77 2.98 -19.29 0.041 41.95 0.34 472.86 80.99 290.54 52.02 0.13 0.05 10.74 0.43 0.28 0.01 0.095 0.014 42.972 0.161 53.896 0.07 40.654 0.162
150686 3658 53.14888 -27.80989 2.9271 0.0112 2 82.65 30.32 -16.846 0.298 41.6 0.55 0.0 0.0 166.53 102.32 -0.05 0.12 0.91 0.48 1.0 0.0 0.397 0.146 42.001 0.288 52.925 0.125 39.683 0.287
160687 2582 53.15514 -27.76235 2.9273 0.0008 3 133.46 29.23 -17.297 0.2 41.99 0.27 442.75 84.14 280.66 57.69 0.16 0.05 1.0 0.0 1.0 0.0 0.641 0.14 42.183 0.151 53.107 0.066 39.865 0.151
180689 2377 53.1512 -27.76754 2.9266 0.0008 2 66.08 16.79 -17.555 0.147 41.78 0.49 421.1 72.27 308.81 106.24 0.21 0.09 1.7 0.3 0.73 0.17 0.317 0.081 42.279 0.24 53.203 0.104 39.96 0.24
240899 2178 53.14876 -27.77169 2.944 0.003 2 47.19 11.05 -17.827 0.134 41.75 0.46 0.0 0.0 192.34 60.22 0.17 0.06 0.79 0.13 1.0 0.0 0.227 0.053 42.394 0.224 53.318 0.097 40.076 0.224
250900 7085 53.13323 -27.78672 2.9419 0.0013 3 78.08 8.07 -18.585 0.077 42.27 0.17 910.89 140.7 358.34 28.36 0.18 0.02 2.51 0.14 0.58 0.05 0.375 0.039 42.696 0.086 53.62 0.037 40.377 0.086
260901 2324 53.13708 -27.78711 2.9435 0.0008 1 25.93 7.1 -18.327 0.078 41.69 0.61 448.67 75.32 31.37 407.09 0.1 0.15 12.77 2.17 0.68 0.1 0.124 0.034 42.597 0.29 53.521 0.126 40.276 0.291
270902 4245 53.13447 -27.77783 2.9449 0.0061 2 177.69 0.0 -15.526 0.0 41.4 0.84 0.0 0.0 266.26 144.95 0.16 0.14 1.0 0.0 1.0 0.0 0.853 0.0 41.469 0.365 52.393 0.159 39.15 0.365
280903 6536 53.14854 -27.77447 2.9437 0.0078 2 323.15 0.0 -15.992 0.0 41.85 0.42 0.0 0.0 497.21 124.54 0.16 0.39 1.0 0.0 1.0 0.0 1.0 0.0 41.85 0.182 52.774 0.079 39.341 0.182
310999 0 53.1547 -27.77121 2.9467 0.0011 2 222.34 0.0 -16.724 0.0 41.98 0.29 490.06 137.98 380.6 166.21 0.13 0.13 1.0 0.0 1.0 0.0 1.0 0.0 41.98 0.126 52.904 0.055 39.633 0.126
321000 0 53.15611 -27.76296 2.9454 0.0604 1 336.19 0.0 -15.535 0.0 41.68 0.49 0.0 0.0 416.01 161.68 0.04 0.16 1.0 0.0 1.0 0.0 1.0 0.0 41.68 0.213 52.604 0.093 39.153 0.213
331001 7279 53.14426 -27.77117 2.9527 0.0031 2 100.9 0.0 -16.078 0.0 41.38 0.98 0.0 0.0 173.57 89.15 0.19 0.09 3.0 1.3 1.0 0.0 0.484 0.0 41.695 0.426 52.619 0.185 39.376 0.426
341002 0 53.15805 -27.79452 2.9446 0.0135 1 27.86 0.0 -20.579 0.0 42.62 0.1 0.0 0.0 901.67 166.08 0.3 0.17 1.0 0.0 1.0 0.0 0.134 0.0 43.493 0.043 54.417 0.019 41.175 0.043
361015 7380 53.17356 -27.77355 2.9768 0.0069 2 145.19 60.44 -16.786 0.411 41.82 0.39 0.0 0.0 330.62 71.93 -0.08 0.07 1.57 0.57 1.0 0.0 0.697 0.29 41.977 0.248 52.901 0.108 39.658 0.248
371016 7369 53.15573 -27.7615 2.9793 0.0089 2 176.25 0.0 -16.042 0.0 41.61 0.6 0.0 0.0 212.47 80.55 0.07 0.15 1.0 0.0 1.0 0.0 0.846 0.0 41.683 0.26 52.607 0.113 39.364 0.261
391032 0 53.16358 -27.81462 2.9862 0.0007 1 32.04 8.69 -17.9 0.186 41.61 0.48 447.68 42.35 144.65 169.04 0.16 0.17 11.55 1.83 0.33 0.05 0.154 0.042 42.422 0.24 53.346 0.104 40.104 0.24
401033 4503 53.14724 -27.77228 2.9828 0.1025 2 19.33 8.7 -17.831 0.159 41.36 0.98 0.0 0.0 219.26 140.27 0.04 0.19 2.52 0.9 1.0 0.0 0.093 0.042 42.392 0.468 53.316 0.203 40.074 0.468
411034 1301 53.16113 -27.80608 2.991 0.0019 3 14.06 2.09 -19.805 0.03 42.01 0.34 298.39 257.8 257.48 746.44 -0.07 0.57 2.55 0.19 0.33 0.03 0.067 0.01 43.184 0.161 54.108 0.07 40.862 0.161
421036 0 53.17824 -27.79558 2.9934 0.0007 3 452.1 0.0 -16.25 0.0 42.1 0.23 690.59 33.12 246.29 78.36 0.15 0.08 1.0 0.0 1.0 0.0 1.0 0.0 42.1 0.1 53.024 0.043 39.445 0.1
431037 7163 53.17659 -27.7686 2.9919 0.0006 3 5.95 3.68 -18.178 0.192 40.99 1.36 340.22 29.07 340.6 51.28 0.18 0.04 3.73 0.38 0.15 0.09 0.029 0.018 42.528 0.649 53.452 0.282 40.215 0.65
441038 0 53.16327 -27.81378 2.9881 0.0598 2 274.88 0.0 -16.882 0.0 42.13 0.31 0.0 0.0 331.34 117.55 0.12 0.28 1.0 0.0 1.0 0.0 1.0 0.0 42.13 0.135 53.054 0.059 39.691 0.135
