# %ECSV 1.0
# ---
# datatype:
# - {name: ID, datatype: string}
# - {name: logFLya, unit: dex(erg / s), datatype: float64}
# - {name: e_logFLya, unit: dex(erg / s), datatype: float64}
# - {name: S/N, datatype: float64}
# - {name: EW_Lya, unit: Angstrom, datatype: float64}
# - {name: E_EW_Lya, unit: Angstrom, datatype: float64}
# - {name: e_EW_Lya, unit: Angstrom, datatype: float64}
# - {name: z_Lya, datatype: float64}
# - {name: e_z_Lya, datatype: float64}
# - {name: logLLya, unit: dex(erg / s), datatype: float64}
# - {name: e_logLLya, unit: dex(erg / s), datatype: float64}
# - {name: HII_Radii, unit: pMpc, datatype: float64}
# - {name: M_UV, unit: mag, datatype: float64}
# - {name: R_s, unit: pMpc, datatype: float64}
# - {name: e_R_s, unit: pMpc, datatype: float64}
# - {name: E_R_s, unit: pMpc, datatype: float64}
# - {name: R_s_com, unit: cMpc, datatype: float64}
# - {name: e_R_s_com, unit: cMpc, datatype: float64}
# - {name: E_R_s_com, unit: cMpc, datatype: float64}
# - {name: f_esc_Lya, datatype: float64}
# - {name: e_f_esc_Lya, datatype: float64}
# - {name: E_f_esc_Lya, datatype: float64}
# - {name: logLLya_int, unit: dex(erg / s), datatype: float64}
# - {name: e_logLLya_int, unit: dex(erg / s), datatype: float64}
# - {name: E_logLLya_int, unit: dex(erg / s), datatype: float64}
# - {name: logN_ion, unit: dex(1 / s), datatype: float64}
# - {name: e_logN_ion, unit: dex(1 / s), datatype: float64}
# - {name: E_logN_ion, unit: dex(1 / s), datatype: float64}
# schema: astropy-2.0
ID logFLya e_logFLya S/N EW_Lya E_EW_Lya e_EW_Lya z_Lya e_z_Lya logLLya e_logLLya HII_Radii M_UV R_s e_R_s E_R_s R_s_com e_R_s_com E_R_s_com f_esc_Lya e_f_esc_Lya E_f_esc_Lya logLLya_int e_logLLya_int E_logLLya_int logN_ion e_logN_ion E_logN_ion
z7_GND_44088 -16.896 0.197 5.2 87.6 23.8 21.2 7.1335 0.0028 42.898 0.203 0.88 -19.9 0.779 0.031 0.031 6.335 0.255 0.255 0.42 0.102 0.114 43.274 0.4827815829528159 0.4827815829528159 53.597 0.483 0.483
z8_GND_22233 -16.866 0.14 7.1 54.5 15.0 12.1 7.3444 0.002 42.959 0.16 0.92 -20.7 0.911 0.046 0.046 7.601 0.388 0.388 0.262 0.058 0.072 43.541 0.6116207951070336 0.6116207951070336 53.864 0.612 0.612
z7_GND_18626 -17.585 0.231 4.6 26.8 14.9 9.8 7.4249 0.0013 42.255 0.222 0.52 -19.8 0.66 0.095 0.095 5.562 0.8 0.8 0.129 0.047 0.072 43.146 1.7257462686567162 1.7257462686567162 53.468 1.726 1.726
z7_GND_42912 -16.836 0.089 10.8 33.2 4.3 4.0 7.5056 0.0007 43.009 0.088 0.96 -21.6 1.077 0.05 0.05 9.16 0.421 0.421 0.159 0.019 0.021 43.807 0.5522088353413656 0.5522088353413656 54.129 0.552 0.552
z7_GND_6330 -17.387 0.171 6.1 15.9 4.4 3.7 7.546 0.0006 42.462 0.172 0.62 -20.7 0.897 0.168 0.168 7.662 1.439 1.439 0.076 0.018 0.021 43.579 2.2536687631027252 2.2536687631027252 53.902 2.254 2.254
z7_GND_16863 -16.724 0.095 10.8 61.3 14.4 11.4 7.5989 0.0011 43.134 0.096 1.07 -21.2 0.947 0.026 0.026 8.139 0.221 0.221 0.294 0.055 0.069 43.665 0.32626427406199027 0.32626427406199027 53.988 0.326 0.326
z7_GND_34204 -16.346 0.126 7.9 279.7 80.4 62.5 7.6082 0.003 43.513 0.126 1.44 -20.4 0.84 0.009 0.009 7.235 0.076 0.076 1.0 0.3 0.386 43.513 0.126 0.126 53.835 0.126 0.126
z7_GND_7376 -17.585 0.231 4.1 32.5 23.0 13.0 7.7681 0.0024 42.301 0.25 0.54 -19.5 0.595 0.079 0.079 5.216 0.697 0.697 0.156 0.062 0.11 43.108 1.6025641025641024 1.6025641025641024 53.43 1.603 1.603
z7_GND_39781 -16.796 0.219 4.5 123.9 37.4 32.9 7.8809 0.0018 43.097 0.216 1.04 -20.2 0.685 0.021 0.021 6.082 0.184 0.184 0.595 0.158 0.18 43.323 0.3631961259079902 0.3631961259079902 53.645 0.363 0.363
z7_GND_10402 -17.495 0.25 4.0 6.7 2.7 2.2 7.9395 0.0023 42.415 0.231 0.59 -21.7 1.06 0.634 0.634 9.474 5.671 5.671 0.032 0.011 0.013 43.908 7.182835820895523 7.182835820895523 54.23 7.183 7.183
